x_hex,y_hex,bearing_phase,lower_a_hex,lower_b_hex,lower_c_hex,upper_a_hex,upper_b_hex,upper_c_hex
00000000,00000000,0,011F8923,3FFD7A09,00000000000000000,011F8923,C00285F7,00000000000000000
00000000,00000000,65536,C00285F7,011F8923,00000000000000000,3FFD7A09,011F8923,00000000000000000
00000000,00000000,131072,FEE076DD,C00285F7,00000000000000000,FEE076DD,3FFD7A09,00000000000000000
00000000,00000000,196608,3FFD7A09,FEE076DD,00000000000000000,C00285F7,FEE076DD,00000000000000000
FC180000,00140000,261853,0191C270,3FFB12CB,3FFFEDE3DF25C0000,00AD1535,C000EA0C,3FFF85BF771E80000
FC7C0000,FFEC0000,291,00AD1535,3FFF15F4,3FFF89F93BA9C0000,0191C270,C004ED35,3FFFF7B2DE61C0000
FC180000,00000000,1895,FE37426C,3FF9A1E8,00006F8248A200000,0406D282,C02075C1,3FFF04559B4300000
03E80000,00000000,128757,FB548F71,C02BAB8E,3FFEDC25051680000,026D6565,3FF43641,000097B5412880000
00000000,FC180000,61574,C06796E4,072F7AEC,3FFE3EE87D6200000,3FCEED0E,FB0CDBB0,0001355C5D8800000
00000000,03E80000,200984,3FC18E17,059516E8,00015CE617A400000,C07AA257,F82F241B,3FFE1782509780000
