phase_u18,angle_deg,sin_q2_30,cos_q2_30,sin_hex,cos_hex,residual_phase_lsb
0,0.000000000000,5684,1073741824,00001634,40000000,-3617
1,0.001373291016,22068,1073741824,00005634,40000000,2335
732,1.005249023438,18843939,1073576457,011F8923,3FFD7A09,-3951
1989,2.731475830078,51164810,1072522105,030CB68A,3FED6379,2907
2188,3.004760742188,56286568,1072265511,035ADD68,3FE97927,-1381
6113,8.394927978516,156761765,1062236909,0957FEA5,3F5072ED,-217
7078,9.720153808594,181289298,1058326838,0ACE4152,3F14C936,-1891
11782,16.180114746094,299198933,1031213607,11D569D5,3D771227,5045
12311,16.906585693359,312263765,1027332880,129CC455,3D3BDB10,-4373
12350,16.960144042969,313219857,1027041783,12AB5B11,3D3769F7,-1651
17415,23.915863037109,435290763,981551555,19F2028B,3A8149C3,-1061
19033,26.137847900391,473023944,963934569,1C31C5C8,39747969,-4259
23611,32.424774169922,575728582,906343260,2250EBC6,3605B35C,2269
25890,35.554504394531,624361296,873552790,2536FF50,34115B96,-3885
29067,39.917449951172,689008405,823522265,29116F15,3115F3D9,-5199
32806,45.052185058594,759937687,758561940,2D4BBA97,2D36BC94,3289
35641,48.945465087891,809693931,705207234,3042F2EB,2A089BC2,-1503
41819,57.429656982422,904876566,578031059,35EF5216,22740DD3,-1035
42402,58.230285644531,912863806,565332802,3669323E,21B24B42,577
42952,58.985595703125,920237204,553249485,36D9B494,20F9EACD,145
43331,59.506072998047,925220959,544874006,3725C05F,207A1E16,5099
43678,59.982604980469,929728281,537146934,376A8719,20043636,-4609
48737,66.930084228516,987872782,420747991,3AE1BE0E,19141AD7,-1479
51567,70.816497802734,1014120491,352818838,3C72402B,15079696,-4749
51996,71.405639648438,1017690004,342386564,3CA8B794,14686784,4557
53188,73.042602539062,1027056121,313172842,3D37A1F9,12AAA36A,3129
53325,73.230743408203,1028082052,309788315,3D474984,1276FE9B,-3735
62662,86.053161621094,1071195791,73899140,3FD9268F,04679C84,-4743
65535,89.998626708984,1073741824,22068,40000000,00005634,-2335
65536,90.000000000000,1073741824,-5684,40000000,FFFFE9CC,3617
65537,90.001373291016,1073741824,-22068,40000000,FFFFA9CC,-2335
65621,90.116729736328,1073739601,-2184754,3FFFF751,FFDEA9CE,-1781
73092,100.376586914062,1056180368,-193402523,3EF40890,F478E965,2033
81363,111.735076904297,997406259,-397620748,3B733633,E84CC9F4,-1717
87009,119.488677978516,934639090,-528555840,37B575F2,E07EE0C0,3473
94729,130.090484619141,821447426,-691480752,30F64B02,D6C8D750,-4425
95406,131.020202636719,810113451,-704725266,304959AB,D5FEBEEE,1311
96703,132.801361083984,787823161,-729558889,2EF53A39,D483D097,-3795
97175,133.449554443359,779514370,-738429990,2E767202,D3FC73DA,811
97203,133.488006591797,779018423,-738953179,2E6EE0B7,D3F47825,995
103372,141.959838867188,661653357,-845657342,2770076D,CD984B02,841
109362,150.185852050781,533852554,-931623828,1FD1F18A,C8788C6C,-563
114931,157.833709716797,405125509,-994381629,1825B985,C4BAF0C3,-4829
115741,158.946075439453,385737216,-1002062026,16FDE200,C445BF36,485
117741,161.692657470703,337280330,-1019393685,141A7D4A,C33D496B,-1915
121100,166.305541992188,254199638,-1043218122,0F26C756,C1D1C136,1625
131072,180.000000000000,-5684,-1073741824,FFFFE9CC,C0000000,-3617
133191,182.910003662109,-54503091,-1072357644,FCC0594D,C0151EF4,5033
135609,186.230621337891,-116530069,-1067399760,F90DE46B,C060C5B0,2459
140243,192.594451904297,-234131221,-1047904612,F20B70EB,C18A3E9C,-2069
146912,201.752929687500,-397940331,-997278797,E847E995,C48EBBB3,-4331
163444,224.456176757812,-752005666,-766426111,D32D4DDE,D2514401,3513
166737,228.978424072266,-810102697,-704737627,CFB6D057,D5FE8EA5,-4643
170425,234.043121337891,-869148914,-630477335,CC31D70E,DA6BADE9,1319
177506,243.767395019531,-963153742,-474611816,C69770B2,E3B5FF98,243
184000,252.685546875000,-1025086548,-319560751,C2E66BAC,ECF3E3D1,-1121
191636,263.171997070312,-1066125427,-127663940,C074378D,F86400BC,4853
191682,263.235168457031,-1066266968,-126476313,C0720EA8,F8761FE7,-2901
193429,265.634307861328,-1070625814,-81742717,C02F8BEA,FB20B483,4691
196608,270.000000000000,-1073741824,5684,C0000000,00001634,3617
200988,276.015014648438,-1067831125,112508633,C05A30AB,06B4BED9,-4981
210882,289.602355957031,-1011509205,360236908,C3B5982B,1578C76C,4685
218352,299.860839843750,-931191933,534605546,C87F2383,1FDD6EEA,-3871
221677,304.427032470703,-885672401,607046870,CB35B62F,242ECCD6,181
222715,305.852508544922,-870301894,628884821,CC203F3A,257C0555,-5141
224405,308.173370361328,-844120473,663612938,CDAFBE67,278DEE0A,-4671
229999,315.855560302734,-747831271,770499770,D36D0019,2DECE4BA,-2443
231693,318.181915283203,-715940675,800219004,D5539CBD,2FB25F7C,-3645
247212,339.494018554688,-376133001,1005706453,E994AA77,3BF1DCD5,2927
249348,342.427368164062,-324171725,1023637728,ECAD8833,3D0378E0,4377
258898,355.542297363281,-83451775,1070493953,FB06A081,3FCE7101,1783
261416,359.000244140625,-18729268,1073578464,FEE236CC,3FFD81E0,3525
262106,359.947814941406,-972339,1073741384,FFF129CD,3FFFFE48,3581
262143,359.998626708984,-22068,1073741824,FFFFA9CC,40000000,2335
