name,input_hex,crc16_hex,crc_wire_little_endian_hex
ccitt_false_check,313233343536373839,29B1,B129
get_info,010101000000,9755,5597
set_config,011002001C0000000807DC02000000000040000000000000004000000000D0020004,B1D0,D0B1
load_two_observations,011103001C0002000000000018FC00000000670700000000E80300000000D7F60100,D72E,2ED7
load_twenty_observations,01110400F400140000000000F6FF00000A00000000000000F7FF00000900393000000000F8FF00000800726000000000F9FF00000700AB9000000000FAFF00000600E4C000000000FBFF000005001DF100000000FCFF00000400562101000000FDFF000003008F5101000000FEFF00000200C88101000000FFFF0000010001B2010000000000000000003AE20100000001000000FFFF73120200000002000000FEFFAC420200000003000000FDFFE5720200000004000000FCFF1EA30200000005000000FBFF57D30200000006000000FAFF90030300000007000000F9FFC9330300000008000000F8FF02640300000009000000F7FF3B940300,B1D6,D6B1
start_localization,011205000000,B72C,2CB7
get_status,011306000000,86A1,A186
read_result_header,0114070008000000000000000000,8312,1283
read_result_vertices,0114080008000100200010000000,F98D,8DF9
abort,011F09000000,D964,64D9
ack,01800300040011000000,9209,0992
info,01810100180001B3013F00E1F50500C20100101E12121410D00200040000,662D,2D66
status,018206001000030101030404060000000000AF660400,36D6,D636
result_header,019007001B0005000103060039300000000000000201000400AF66040000000000,7642,4276
result_vertices,01910800880005002000100000000000000000000000000001000080FFFF000002000000FFFF000003000080FEFF000004000000FEFF000005000080FDFF000006000000FDFF000007000080FCFF000008000000FCFF000009000080FBFF00000A000000FBFF00000B000080FAFF00000C000000FAFF00000D000080F9FF00000E000000F9FF00000F000080F8FF,1086,8610
crc_error,01FF030008001104000000000000,3380,8033
